entry,exp,S0,ST,ks,credit,intrinsic,pnl,move,yr
2026-03-13,2026-03-20,662.29,648.57,650.0,1.3000000000000007,1.42999999999995,-0.1819999999999493,-2.071600054356837,2026
2026-03-20,2026-03-27,648.57,634.09,636.0,1.1,1.9099999999999682,-0.8539999999999681,-2.2326040365727717,2026
2026-04-02,2026-04-10,655.83,679.46,643.0,0.8999999999999999,0.0,0.8639999999999999,3.6030678681975514,2026
2026-04-10,2026-04-17,679.46,710.14,667.0,0.7,0.0,0.6719999999999999,4.51535042533775,2026
2026-04-17,2026-04-24,710.14,713.94,697.0,0.5,0.0,0.48,0.5351057537950288,2026
2026-04-24,2026-05-01,713.94,720.65,700.0,0.6800000000000002,0.0,0.6528000000000002,0.9398548897666448,2026
2026-05-01,2026-05-08,720.65,737.62,707.0,0.5399999999999999,0.0,0.5183999999999999,2.354818566571848,2026
2026-05-08,2026-05-15,737.62,739.17,724.0,0.4700000000000001,0.0,0.45120000000000005,0.2101353000189654,2026
2026-05-15,2026-05-22,739.17,745.64,725.0,0.74,0.0,0.7103999999999999,0.8753060865565487,2026
2026-05-22,2026-05-29,745.64,756.48,731.0,0.44000000000000006,0.0,0.42240000000000005,1.4537846682044941,2026
2026-05-29,2026-06-05,756.48,737.55,742.0,0.37,4.4500000000000455,-4.0948000000000455,-2.5023794416243694,2026
2026-06-05,2026-06-12,737.55,741.75,724.0,1.08,0.0,1.0368,0.5694529184462116,2026
2026-06-18,2026-06-26,746.74,728.99,733.0,0.5499999999999998,4.009999999999991,-3.4819999999999913,-2.376998687628895,2026
2026-07-02,2026-07-10,744.78,754.95,731.0,0.4800000000000001,0.0,0.4608000000000001,1.3655039071940767,2026
2026-07-10,2026-07-17,754.95,743.29,741.0,0.32000000000000006,0.0,0.30720000000000003,-1.5444731439168247,2026
2026-07-17,2026-07-24,743.29,738.93,729.0,0.6699999999999999,0.0,0.6431999999999999,-0.5865812805230797,2026
2026-07-24,2026-07-31,738.93,747.03,725.0,0.75,0.0,0.72,1.0961796110592337,2026
2026-07-31,2026-08-07,747.03,773.26,733.0,0.44000000000000006,0.0,0.42240000000000005,3.5112378351605633,2026
2026-08-07,2026-08-14,773.26,776.34,759.0,0.38,0.0,0.3648,0.3983136331893622,2026
2026-08-14,2026-08-21,776.34,765.72,762.0,0.24,0.0,0.2304,-1.367957338279624,2026
